"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes"
"2018 General Election","COLUMBIA","Governor","Statewide","Republican","WAGNER, SCOTT R ","12,424","0","0"
"2018 General Election","COLUMBIA","Governor","Statewide","Green","GLOVER, PAUL ","148","0","0"
"2018 General Election","COLUMBIA","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","244","0","0"
"2018 General Election","COLUMBIA","Representative in Congress","9th Congressional District","Democratic","WOLFF, DENNIS ","9,825","0","0"
"2018 General Election","COLUMBIA","Representative in Congress","9th Congressional District","Republican","MEUSER, DANIEL ","12,690","0","0"
"2018 General Election","CRAWFORD","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","11,151","0","0"
"2018 General Election","CRAWFORD","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","17,087","0","0"
"2018 General Election","CRAWFORD","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","194","0","0"
"2018 General Election","CRAWFORD","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","320","0","0"
"2018 General Election","CRAWFORD","Governor","Statewide","Democratic","WOLF, THOMAS W ","11,570","0","0"
"2018 General Election","CRAWFORD","Governor","Statewide","Republican","WAGNER, SCOTT R ","17,076","0","0"
"2018 General Election","CRAWFORD","Governor","Statewide","Green","GLOVER, PAUL ","202","0","0"
"2018 General Election","CRAWFORD","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","332","0","0"
"2018 General Election","CRAWFORD","Representative in Congress","16th Congressional District","Democratic","DINICOLA, RONALD A ","11,293","0","0"
"2018 General Election","CRAWFORD","Representative in Congress","16th Congressional District","Republican","KELLY, GEORGE J JR","17,547","0","0"
"2018 General Election","CRAWFORD","Representative in Congress","16th Congressional District","Libertarian","BEEMAN, EBERT G BILL ","344","0","0"
"2018 General Election","CUMBERLAND","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","47,738","0","0"
"2018 General Election","CUMBERLAND","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","54,525","0","0"
"2018 General Election","CUMBERLAND","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","738","0","0"
"2018 General Election","CUMBERLAND","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,399","0","0"
"2018 General Election","CUMBERLAND","Governor","Statewide","Democratic","WOLF, THOMAS W ","52,807","0","0"
"2018 General Election","CUMBERLAND","Governor","Statewide","Republican","WAGNER, SCOTT R ","49,496","0","0"
"2018 General Election","CUMBERLAND","Governor","Statewide","Green","GLOVER, PAUL ","671","0","0"
"2018 General Election","CUMBERLAND","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","1,504","0","0"
"2018 General Election","CUMBERLAND","Representative in Congress","10th Congressional District","Democratic","SCOTT, GEORGE B ","41,459","0","0"
"2018 General Election","CUMBERLAND","Representative in Congress","10th Congressional District","Republican","PERRY, SCOTT G ","46,791","0","0"
"2018 General Election","CUMBERLAND","Representative in Congress","13th Congressional District","Democratic","OTTAWAY, BRENT M ","5,155","0","0"
"2018 General Election","CUMBERLAND","Representative in Congress","13th Congressional District","Republican","JOYCE, JOHN ","10,970","0","0"
"2018 General Election","DAUPHIN","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","59,533","0","0"
"2018 General Election","DAUPHIN","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","47,153","0","0"
"2018 General Election","DAUPHIN","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","783","0","0"
"2018 General Election","DAUPHIN","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,240","0","0"
"2018 General Election","DAUPHIN","Governor","Statewide","Democratic","WOLF, THOMAS W ","64,046","0","0"
"2018 General Election","DAUPHIN","Governor","Statewide","Republican","WAGNER, SCOTT R ","42,436","0","0"
"2018 General Election","DAUPHIN","Governor","Statewide","Green","GLOVER, PAUL ","706","0","0"
"2018 General Election","DAUPHIN","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","1,362","0","0"
"2018 General Election","DAUPHIN","Representative in Congress","10th Congressional District","Democratic","SCOTT, GEORGE B ","58,438","0","0"
"2018 General Election","DAUPHIN","Representative in Congress","10th Congressional District","Republican","PERRY, SCOTT G ","49,689","0","0"
"2018 General Election","DELAWARE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","156,848","0","0"
"2018 General Election","DELAWARE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","81,654","0","0"
"2018 General Election","DELAWARE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","1,262","0","0"
"2018 General Election","DELAWARE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","2,003","0","0"
"2018 General Election","DELAWARE","Governor","Statewide","Democratic","WOLF, THOMAS W ","160,962","0","0"
"2018 General Election","DELAWARE","Governor","Statewide","Republican","WAGNER, SCOTT R ","77,933","0","0"
"2018 General Election","DELAWARE","Governor","Statewide","Green","GLOVER, PAUL ","1,036","0","0"
"2018 General Election","DELAWARE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","1,715","0","0"
"2018 General Election","DELAWARE","Representative in Congress","5th Congressional District","Democratic","SCANLON, MARY GAY ","148,329","0","0"
"2018 General Election","DELAWARE","Representative in Congress","5th Congressional District","Republican","KIM, PEARL ","91,759","0","0"
"2018 General Election","ELK","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","4,498","0","0"
"2018 General Election","ELK","United States Senator","Statewide","Republican","BARLETTA, LOUIS J. ","6,610","0","0"
"2018 General Election","ELK","United States Senator","Statewide","Green","GALE, NEAL TAYLOR ","63","0","0"
"2018 General Election","ELK","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","111","0","0"
"2018 General Election","ELK","Governor","Statewide","Democratic","WOLF, THOMAS W ","4,206","0","0"
"2018 General Election","ELK","Governor","Statewide","Republican","WAGNER, SCOTT R ","6,918","0","0"
"2018 General Election","ELK","Governor","Statewide","Green","GLOVER, PAUL ","76","0","0"
"2018 General Election","ELK","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V ","101","0","0"
"2018 General Election","ELK","Representative in Congress","15th Congressional District","Democratic","BOSER, SUSAN ","3,584","0","0"
"2018 General Election","ELK","Representative in Congress","15th Congressional District","Republican","THOMPSON, GLENN WILLIAM JR","7,712","0","0"
